"","time","N_i","N_j","Q_i","Q_j","R"
"1",0,1000,1000,2.49459472694296e-06,0.000666806769213624,40
"2",1,1936.36554337745,1087.53925291854,1.77658430705856e-06,0.00063541192561776,39.9680492778096
"3",2,3669.60331694424,1182.18432710894,1.69183523442546e-06,0.000629090942303586,39.9054068232563
"4",3,6932.14746276193,1284.93975026629,1.68183997962534e-06,0.000627818495377878,39.8291166136589
"5",4,13090.2307151532,1396.5988334264,1.68066156330221e-06,0.000627562294307457,39.7404579164988
"6",5,24717.6510639629,1517.95479770068,1.68052134261795e-06,0.000627510521948434,39.6353928112253
"7",6,46672.9241024721,1649.85451330514,1.68050443660633e-06,0.00062749990649779,39.5052325879618
"8",7,88129.7440604374,1793.21509029057,1.68050205494181e-06,0.00062749752544443,39.333717564376
"9",8,166410.204140302,1949.03259316697,1.68050124758766e-06,0.000627496708720819,39.0905896988634
"10",9,314222.591134896,2118.38947097573,1.68050035763701e-06,0.000627496035708279,38.7192597055811
"11",10,593327.947208075,2302.46218284945,1.68049895255819e-06,0.000627495070409865,38.1134799900278
"12",11,1120345.97828515,2502.52938127027,1.68049650249723e-06,0.000627493421534447,37.0732924617608
"13",12,2115482.02878635,2719.98076800383,1.68049190890576e-06,0.00062749035534949,35.2218535104504
"14",13,3994535.48449398,2956.32666843436,1.68048251874216e-06,0.000627484136600548,31.8483940644903
"15",14,5279838.64873018,2249.24579379377,1.68046026297629e-06,0.000627469581814174,29.9282369300263
"16",15,9969563.30983308,2444.68672105772,1.68044035262539e-06,0.000627455880682234,21.7862385883784
"17",16,18824701.6521792,2657.10592462866,1.68025106379929e-06,0.000627340207207201,6.52621350626814
"18",17,34534219.9019744,2886.55793928532,1.09281332093547e-06,0.000586733408240732,1.53551161158476e-12
"19",18,55602570.9750012,3129.96034339425,6.719826114199e-07,0.000535721796682186,1.01488857854487e-09
"20",19,76484351.750275,3386.82948871406,4.83667707690614e-07,0.000490164527741215,-6.69624145722184e-09
"21",20,91700692.9167471,3656.64948714304,3.99352545235395e-07,0.000449477826012418,2.70216231828691e-17
"22",21,100250661.079655,3938.66697050471,3.6166134569829e-07,0.000413142058173792,-4.82416332993734e-18
"23",22,104108679.274221,4231.87306574039,3.44792785703515e-07,0.000380691422630729,-5.9903661285306e-19
"24",23,105379631.133558,4535.00136108174,3.37243374154227e-07,0.000351710517530444,6.65579916727976e-20
"25",24,105386359.643354,4846.5306288402,3.33866709452823e-07,0.000325828351439478,4.9649826932887e-19
"26",25,104812190.113303,5164.69837841073,3.32355517937354e-07,0.000302713594586204,2.61631181779777e-18
"27",26,103980907.981863,5487.52503132507,3.31679429168662e-07,0.000282070346685331,-2.93981787406616e-17
"28",27,103040399.960376,5812.84866693989,3.31376434093687e-07,0.000263634344649109,-2.52435208168116e-17
"29",28,71439812.2033548,4296.858734584,3.31240925783594e-07,0.000247169582679932,12
"30",29,86403743.1774895,4550.74514449292,4.06980204203755e-07,0.000263544777525688,-4.77037341021392e-14
"31",30,95363480.7067402,4805.51051911151,3.65073743200362e-07,0.000247089592175752,1.81421185275788e-16
"32",31,99527227.8340975,5058.55419868828,3.46320395286084e-07,0.000232393850861515,-6.51499342784185e-15
"33",32,100984010.434523,5307.98896249899,3.37928366672725e-07,0.000219269428164626,-8.52594752833329e-14
